Box,box_trail,vial_check,Vial_number,Date,Date2,Year,Month,Day,Campaign,Site,Zone,Water,Sampler,Repl,Depth,Analysis,Vial_ID
7,74,,446,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,B,10,Nutrients,7_74__446_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_B_10_Nutrients
7,77,,447,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,PW,Lys,C,10,Nutrients,7_77__447_02/21/2023_2023_MonMon_CRC_UP_PW_Lys_C_10_Nutrients
7,78,,448,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,A,,Nutrients,7_78__448_02/21/2023_2023_MonMon_CRC__OW__A__Nutrients
7,79,,449,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,B,,Nutrients,7_79__449_02/21/2023_2023_MonMon_CRC__OW__B__Nutrients
7,80,,450,2/21/2023,44978,2023,2,21,MonMon,CRC,OW,OW,,C,,Nutrients,7_80__450_02/21/2023_2023_MonMon_CRC__OW__C__Nutrients
7,80,,451,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,1,,Nutrients,7_80__451_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_1__Nutrients
7,81,,452,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,2,,Nutrients,7_81__452_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_2__Nutrients
7,83,,453,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,3,,Nutrients,7_83__453_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_3__Nutrients
7,85,,454,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,5,,Nutrients,7_85__454_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_5__Nutrients
7,86,,455,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,6,,Nutrients,7_86__455_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_6__Nutrients
7,87,,456,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,7,,Nutrients,7_87__456_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_7__Nutrients
7,88,,457,2/21/2023,44978,2023,2,21,MonMon,CRC,TR,RZ,Rz,8,,Nutrients,7_88__457_02/21/2023_2023_MonMon_CRC_TR_RZ_Rz_8__Nutrients
7,91,,458,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,1,,Nutrients,7_91__458_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_1__Nutrients
7,92,,459,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,2,,Nutrients,7_92__459_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_2__Nutrients
7,93,,460,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,3,,Nutrients,7_93__460_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_3__Nutrients
7,94,,461,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,4,,Nutrients,7_94__461_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_4__Nutrients
7,95,,462,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,5,,Nutrients,7_95__462_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_5__Nutrients
7,96,,463,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,6,,Nutrients,7_96__463_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_6__Nutrients
7,97,,464,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,7,,Nutrients,7_97__464_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_7__Nutrients
7,98,,465,2/21/2023,44978,2023,2,21,MonMon,CRC,UP,RZ,Rz,8,,Nutrients,7_98__465_02/21/2023_2023_MonMon_CRC_UP_RZ_Rz_8__Nutrients
